id	title	description	coding
abc-news	WATCH: Democrat Zohran Mamdani will win the NYC mayoral race, ABC News projects	Mamdani is set to be the city's first Muslim mayor of south Asian descent.	
the-wall-street-journal	Prof. Mamdani’s Curriculum	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	What President Trump Has Said About Zohran Mamdani	No summary available in snippet. (Could be video or online-only content)	
nbc-news	Cuomo says 'that's another problem' when radio host says Mamdani would cheer a terror attack	"Former New York Gov. Andrew Cuomo appeared to laugh briefly and agree with a radio host who said during a Thursday interview that Zohran Mamdani would be ""cheering"" if ""another 9/11"" happened on his watch."	
nbc-news	Zohran Mamdani wins the New York mayoral race	Zohran Mamdani has won New York’s mayoral race, NBC News projects, after the 34-year-old democratic socialist energized progressives in the city and across the country while generating intense backlash from President Donald Trump and Republicans, as well as s…	
usa-today	Mamdani’s plan to kill gifted education won't fix inequality. It will deepen it. | Opinion	It is no longer enough to give equal opportunities to every student, as the 14th Amendment to the U.S. Constitution requires.	
los-angeles-times	California Passes Prop 50 to Redraw Maps; Zohran Mamdani Elected as NYC’s Youngest Mayor	No detailed summary provided in snippet.	
the-seattle-times	Progressives warn Democrats against alienating the left and blast Schumer's Senate leadership	Democrats are riding high after Election Day wins and some are capitalizing on the victory of New York City Mayor-Elect Zohran Mamdani.	
the-wall-street-journal	Schumer, Centrist Democrats Dodge Questions on Mamdani	No summary available in snippet. (Could be video or online-only content)	
fox-news	Meet the socialist Mamdani-style mayor just elected to run West Coast's 5th largest city	Seattle elects socialist mayor Katie Wilson, defeating incumbent Bruce Harrell in a tight race. Wilson has been compared to NYC's Zohran Mamdani for progressive policies.	
nypost	Zohran Mamdani meets with NYPD Commissioner Jessica Tisch — but won’t say if she’ll say on job	Mayor-elect Zohran Mamdani said Sunday he met with police Commissioner Jessica Tisch and hopes she will stay on to continue leading the NYPD when he takes office.	
abc-news	NYC candidate Andrew Cuomo: 'You can be a New Yorker and not understand New Yorkers'	Cuomo sat down with ABC News' Linsey Davis on Thursday.	
nbc-news	Zohran Mamdani's rise shines a brighter spotlight on democratic socialists	Mamdani’s surge past former Gov. Andrew Cuomo in June’s Democratic primary for New York City mayor didn’t just put the 34-year-old state assemblyman on the political map. It also shined a brighter spotlight on the Democratic Socialists of America, or DSA.	
the-wall-street-journal	Harlem Voters on Why They Are Voting for Mamdani	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	The Voters Who Propelled Mamdani to Victory	Appeared in the Nov 6, 2025, print edition as 'How Mamdani Won Over a Million Votes'	
the-wall-street-journal	The Economics Behind Zohran Mamdani’s Biggest Plans	No summary available in snippet. (Could be video or online-only content)	
nbc-news	Hakeem Jeffries endorses Zohran Mamdani for New York City mayor	House Minority Leader Hakeem Jeffries on Friday endorsed the Democratic nominee in the New York City mayoral race, Zohran Mamdani	
los-angeles-times	Democrats sweep key elections as Mamdani wins NYC mayor’s race, capping a stunning ascent	Zohran Mamdani defeated former Gov. Andrew Cuomo in a generational battle between Democrats in the New York City mayor’s race.	
