id	title	description	coding
nbc-news	Mamdani vows New York will lead opposition to Trump in a fiery speech	"In his first speech as the next mayor of New York, Zohran Mamdani made clear he and his city are coming for President Donald Trump.""If anyone can show a nation betrayed by Donald Trump how to defeat him, it is the city that gave rise to him,"" Mamdani said at …"	
the-wall-street-journal	Who Has Endorsed Cuomo or Mamdani for NYC mayor?	No summary available in snippet. (Could be video or online-only content)	
los-angeles-times	New York Gov. Kathy Hochul endorses Zohran Mamdani for mayor	Gov. Kathy Hochul has urged New York City residents to vote for Zohran Mamdani for mayor, giving the Democratic nominee one of his most significant endorsements to date.	
the-wall-street-journal	Zohran Mamdani and the Democrats	No summary available in snippet. (Could be video or online-only content)	
nbc-news	Zohran Mamdani decries 'racist, baseless attacks' in an emotional speech about Islamophobia in New York City	"One day before early voting begins in the New York mayoral race, Democratic nominee Zohran Mamdani condemned the “racist, baseless” attacks he’s faced in recent days, saying the attacks exemplify the islamophobia Muslims all over New York face every day.""I ha…"	
nbc-news	Zohran Mamdani, Bernie Sanders and Alexandria Ocasio-Cortez slam Trump at raucous rally	New York City mayoral hopeful Zohran Mamdani and two of his most prominent backers, Sen.	
nbc-news	Trump says Jewish people who support Zohran Mamdani for New York City mayor are 'stupid'	"President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid.""“Any Jewish person that votes for Zohran Mamdani, a proven and self professed JEW HATER, is a stup…"	
business-insider	Ex-FTC chair Lina Khan joins Mamdani's transition team, calling his victory a rebuke of 'outsized corporate power'	During her time leading the FTC, Khan drew the ire of many on Wall Street and in Silicon Valley.	
nbc-news	Zohran Mamdani and Andrew Cuomo trade insults in final NYC mayoral debate	Zohran Mamdani and Andrew Cuomo clashed Wednesday in a final New York City mayoral debate that put on full display their personal animosity and their array of disagreements on both city and national issues	
los-angeles-times	Letters to the Editor: Readers slam new Florida teaching standards that soften McCarthyism	‘Shame on the Florida Board of Education for spinning McCarthyism into something positive and trying, once again, to stigmatize the terms “socialist” and “communist,”’ an L.A. Times reader writes.	
the-wall-street-journal	Living in Zohran Mamdani’s America	No summary available in snippet. (Could be video or online-only content)	
fox-news	Socialist wave goes coast-to-coast as historic wins shake up the 2025 mayoral elections	The Democratic Socialists of America celebrated their biggest ballot victory yet as Zohran Mamdani won in New York City, while socialist Katie Wilson was elected to lead Seattle.	
los-angeles-times	Contributor: Electing Mamdani would be an ominous turn for New York and the nation	When the nation’s largest city thrives, the entire country feels the lift. And when New York falters, the ripple effects are often national.	
abc-news	WATCH: Tate McRae caught singing into upside-down mic	Pop star Tate McRae had a viral moment after performing into the wrong end of her microphone.	
nypost	Schmear & Wesson: Jewish New Yorkers rushing to buy guns after Mamdani victory	"Jewish New Yorkers are arming themselves before an anti-Israel “mayor who despises us"" takes the helm of New York City, several told The Post this week."	
the-wall-street-journal	Under My Hat in Mamdani’s New York	Appeared in the Nov 6, 2025, print edition as 'Under My Hat in Mamdani’s New York'	
los-angeles-times	Taking inspiration from Mamdani, democratic socialists look to expand their power in L.A.	Organizers with Democratic Socialists of America hope to add two more seats on the Los Angeles City Council in the June election — and possibly get to eight in 2028.	
the-seattle-times	Trump says he and Mamdani will meet Friday in Washington, setting up clash of political opposites	President Donald Trump says he will meet with New York City Mayor-elect Zohran Mamdani in Washington later this week.	
the-seattle-times	Mamdani in Puerto Rico for an annual conference of New York political insiders	New York City Mayor-elect Zohran Mamdani is in Puerto Rico this weekend for an annual summit that brings New York’s politicians and lobbyists to sunny San Juan for strategy meetings, workshops and boozy confabs.	
usa-today	Zohran Mamdani says Andrew Cuomo uses 'racist' attacks in NYC mayor's race	"NYC mayoral frontrunner Zohran Mamdani, a Democrat said the ""disgusting"" attacks on his Muslim faith are coming from both parties."	
the-wall-street-journal	A Makeover for the Anti-Mamdani Campaign	No summary available in snippet. (Could be video or online-only content)	
nbc-news	Zohran Mamdani takes on governing as the left and right fight to define him	Zohran Mamdani’s rapid rise from outer-borough state assemblyman to shock Democratic mayoral nominee was already one of the biggest political stories in years in New York City	
